Variable,Modeled,Min,Max
pump.cost.dollar.per.ml,35,6.25,225
surface.evap.rate,0.4,0.1,1
basin.capital.cost.per.ml.at.0.2.m.per.day,363,100,3000
basin.infiltration.rate,0.2,0.01,2
basin.maintenance.rate,0.1,0.01,0.4
mar.loss.rate,0.05,0,0.85
asr.capital.cost.per.ml,700,50,3000
asr.treatment.cost.per.ml,150,0,500
asr.maintenance.rate,0.07,0.03,0.5
price.per.yield$cotton,538,50,2000
price.per.yield$faba.bean,348,50,1400
discount.rate,0.07,0.01,0.5
nyears$base,30,2,50
nyears$basin,30,2,50
nyears$injection,20,2,50
variable.cost.per.ha$cotton,2658,626.25,10020
total.overhead.cost,5192,1000,10000
farmdam.cost.per.ml,0,100,5000
